latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-19.49401,134.97363,378.85,3.19,1.69,2023-09-09,0016,T,100,6.1NRT,299.79,751.68,D
-19.49988,135.00311,348.47,3.18,1.69,2023-09-09,0016,T,95,6.1NRT,298.71,263.26,D
-19.51476,134.99992,345.62,3.18,1.69,2023-09-09,0016,T,93,6.1NRT,296.18,232.19,D
-19.52963,134.99673,324.12,3.18,1.69,2023-09-09,0016,T,52,6.1NRT,294.77,71.49,D
-19.52709,134.90448,314.42,3.23,1.7,2023-09-09,0016,T,36,6.1NRT,295.26,38.05,D
-19.59668,135.10361,349.56,3.11,1.67,2023-09-09,0016,T,95,6.1NRT,297.39,273.85,D
-19.60589,135.07149,324.19,3.13,1.68,2023-09-09,0016,T,65,6.1NRT,294.43,76.21,D
-19.61141,135.1004,326.37,3.11,1.67,2023-09-09,0016,T,58,6.1NRT,293.8,83.72,D
-19.61691,135.1292,333.98,3.09,1.67,2023-09-09,0016,T,76,6.1NRT,296.29,131.72,D
-19.53965,134.89572,317.49,3.23,1.7,2023-09-09,0016,T,41,6.1NRT,294.49,54.74,D
-19.59572,135.09779,348.41,3.11,1.67,2023-09-09,0016,T,95,6.1NRT,296.46,268.32,D
-19.60145,135.12653,326.18,3.09,1.67,2023-09-09,0016,T,74,6.1NRT,297.65,87.53,D
-19.60473,135.06575,325.9,3.13,1.68,2023-09-09,0016,T,81,6.1NRT,294.66,91.02,D
-19.61046,135.09462,320.11,3.11,1.67,2023-09-09,0016,T,43,6.1NRT,293.36,53.38,D
-19.61616,135.12337,335.74,3.09,1.67,2023-09-09,0016,T,88,6.1NRT,295.78,152.73,D
-19.59636,134.9455,315.03,3.19,1.69,2023-09-09,0016,T,33,6.1NRT,296.34,42.58,D
-19.61126,134.94228,313.8,3.19,1.69,2023-09-09,0016,T,39,6.1NRT,294.77,40.2,D
-19.61707,134.97177,316.46,3.18,1.69,2023-09-09,0016,T,53,6.1NRT,296.48,47.17,D
-19.64558,135.11705,331.91,3.09,1.67,2023-09-09,0016,T,86,6.1NRT,296.42,123.16,D
-19.68237,135.22751,320.28,3.03,1.66,2023-09-09,0016,T,47,6.1NRT,296.73,56.87,D
-19.69336,135.04659,320.91,3.13,1.68,2023-09-09,0016,T,64,6.1NRT,296.25,64.27,D
-19.8228,135.72951,322.77,2.76,1.59,2023-09-09,0016,T,78,6.1NRT,298.45,62.7,D
-19.82761,135.75519,327.78,2.75,1.59,2023-09-09,0016,T,83,6.1NRT,297.05,87.17,D
-19.81707,135.75029,315.52,2.75,1.59,2023-09-09,0016,T,69,6.1NRT,295.95,33.07,D
-19.6919,135.0397,317.33,3.13,1.68,2023-09-09,0016,T,27,6.1NRT,295.39,47.83,D
-19.72585,135.21089,319.38,3.03,1.66,2023-09-09,0016,T,57,6.1NRT,295.8,54.54,D
-19.83106,135.74733,328.48,2.75,1.59,2023-09-09,0016,T,83,6.1NRT,297.42,90.81,D
-19.73277,135.09099,320.61,3.09,1.67,2023-09-09,0016,T,43,6.1NRT,295.75,61.88,D
-20.12798,135.80298,319.6,2.69,1.57,2023-09-09,0016,T,61,6.1NRT,295.8,49.96,D
-20.08121,135.75455,315.32,2.71,1.58,2023-09-09,0016,T,47,6.1NRT,295.27,32.36,D
-20.13268,135.79602,318.05,2.69,1.57,2023-09-09,0016,T,59,6.1NRT,296.81,44.83,D
-20.19281,135.8092,314.84,2.68,1.57,2023-09-09,0016,T,39,6.1NRT,296.74,32.02,D
-20.1975,135.83411,314.63,2.66,1.57,2023-09-09,0016,T,35,6.1NRT,294.43,32.03,D
-20.20214,135.8259,317.16,2.66,1.57,2023-09-09,0016,T,51,6.1NRT,295.42,40.71,D
-20.22275,135.55704,345.83,2.79,1.6,2023-09-09,0016,T,94,6.1NRT,295.58,213.83,D
-20.23682,135.55402,324.16,2.79,1.6,2023-09-09,0016,T,77,6.1NRT,294.79,76.67,D
-20.28963,135.83305,320.79,2.65,1.56,2023-09-09,0016,T,25,6.1NRT,296.54,46.58,D
-20.22595,135.55031,342.38,2.79,1.6,2023-09-09,0016,T,92,6.1NRT,295.24,185.95,D
-20.23108,135.5762,329.39,2.78,1.59,2023-09-09,0016,T,66,6.1NRT,294.71,95.33,D
-20.24003,135.5473,322.8,2.79,1.6,2023-09-09,0016,T,78,6.1NRT,295.12,72.06,D
-20.23047,135.27203,318.94,2.93,1.63,2023-09-09,0016,T,48,6.1NRT,295.26,56.48,D
-20.24483,135.26892,322.46,2.93,1.63,2023-09-09,0016,T,68,6.1NRT,294.6,71.87,D
-20.38296,135.87686,314.78,2.62,1.55,2023-09-09,0016,T,32,6.1NRT,295.73,30.67,D
-22.00979,145.57625,323.25,1.13,1.06,2023-09-09,0016,T,72,6.1NRT,305.37,10.76,D
-20.4364,135.63193,326.48,2.73,1.58,2023-09-09,0016,T,68,6.1NRT,295.63,78.93,D
-20.44121,135.65733,319.74,2.71,1.58,2023-09-09,0016,T,50,6.1NRT,295.88,48.91,D
-22.03665,145.56137,325.73,1.13,1.06,2023-09-09,0016,T,64,6.1NRT,305.29,14.57,D
-20.47868,135.7796,317.7,2.65,1.56,2023-09-09,0016,T,63,6.1NRT,297.13,40.37,D
-20.42657,135.62802,325.5,2.73,1.58,2023-09-09,0016,T,50,6.1NRT,296.7,70.86,D
-22.08312,145.58141,321,1.13,1.06,2023-09-09,0016,T,57,6.1NRT,303.88,9.73,D
-22.08452,145.59219,330.28,1.13,1.06,2023-09-09,0016,T,81,6.1NRT,305.61,21.5,D
-22.12325,145.74185,316.04,1.15,1.07,2023-09-09,0016,T,42,6.1NRT,301.96,7.81,D
-22.22574,145.67592,328.41,1.14,1.07,2023-09-09,0016,T,79,6.1NRT,305.33,20.66,D
-22.22718,145.68686,347.71,1.15,1.07,2023-09-09,0016,T,94,6.1NRT,304.43,59.3,D
-22.25744,145.5106,333.13,1.13,1.06,2023-09-09,0016,T,83,6.1NRT,305.75,27.95,D
-22.33475,145.54776,317.16,1.13,1.06,2023-09-09,0016,T,21,6.1NRT,302.83,6.45,D
-22.74416,147.63455,335.42,1.5,1.21,2023-09-09,0016,T,87,6.1NRT,300.01,56.6,D
-22.74587,147.64905,325.64,1.51,1.21,2023-09-09,0016,T,79,6.1NRT,298.82,33.2,D
-23.1071,148.62265,311.69,1.78,1.31,2023-09-09,0016,T,50,6.1NRT,298.63,9.26,D
-23.11689,148.60403,325.53,1.78,1.31,2023-09-09,0016,T,79,6.1NRT,301.62,36.86,D
-23.11877,148.62117,328.25,1.78,1.31,2023-09-09,0016,T,81,6.1NRT,300.04,45.06,D
-23.70575,149.50471,311.38,2.1,1.41,2023-09-09,0016,T,56,6.1NRT,299.29,17.27,D
-23.83783,149.39417,312.42,2.07,1.4,2023-09-09,0016,T,50,6.1NRT,296.31,19.31,D
-23.842,149.31241,315.74,2.04,1.39,2023-09-09,0016,T,61,6.1NRT,296.34,28.55,D
-23.84403,149.33185,321.36,2.05,1.39,2023-09-09,0016,T,74,6.1NRT,296.89,42.61,D
-23.85643,149.32988,316.19,2.05,1.39,2023-09-09,0016,T,42,6.1NRT,295.27,29.75,D
-21.52556,133.80722,308.14,3.51,1.76,2023-09-09,0016,T,52,6.1NRT,291.87,29.61,D
-24.09085,149.20438,326.26,2.02,1.39,2023-09-09,0016,T,81,6.1NRT,296.92,59.5,D
-24.09292,149.22444,311.11,2.03,1.39,2023-09-09,0016,T,57,6.1NRT,297.09,18.82,D
-24.1094,149.38507,308.82,2.09,1.41,2023-09-09,0016,T,44,6.1NRT,297.63,11.77,D
-24.10322,149.20279,310.63,2.02,1.39,2023-09-09,0016,T,53,6.1NRT,297.41,19.54,D
-24.22796,149.40678,346.05,2.1,1.41,2023-09-09,0016,T,93,6.1NRT,298.33,146.36,D
